datetime,reaTZon_y,reaTSetHea_y,reaTSetCoo_y,rewards
2023-10-15 23:45:35,294.4825212291262,294.15,297.15,-0.0009856577429677008
2023-10-15 23:46:05,294.48079343177824,294.15,297.15,-0.0009856577429677008
2023-10-15 23:46:35,294.4790887137758,294.15,297.15,-0.0009856577429677008
2023-10-15 23:47:05,294.4774202821337,294.15,297.15,-0.0009856577429677008
2023-10-15 23:47:35,294.4757993650034,294.15,297.15,-0.0009856577429677008
2023-10-15 23:48:05,294.4742348292265,294.15,297.15,-0.0009856577429677008
2023-10-15 23:48:35,294.4727337579867,294.15,297.15,-0.0009856577429677008
2023-10-15 23:49:05,294.47130330637526,294.15,297.15,-0.0009856577429677008
2023-10-15 23:49:35,294.4699496594537,294.15,297.15,-0.0009856577429677008
2023-10-15 23:50:05,294.4686775461963,294.15,297.15,-0.0009856577429677008
2023-10-15 23:50:35,294.4674909460583,294.15,297.15,-0.0009856577429677008
2023-10-15 23:51:05,294.466393125903,294.15,297.15,-0.0009856577429677008
2023-10-15 23:51:35,294.46538683011306,294.15,297.15,-0.0009856577429677008
2023-10-15 23:52:05,294.464474378066,294.15,297.15,-0.0009856577429677008
2023-10-15 23:52:35,294.4636577247471,294.15,297.15,-0.0009856577429677008
2023-10-15 23:53:05,294.46293844043873,294.15,297.15,-0.0009856577429677008
2023-10-15 23:53:35,294.4623178282968,294.15,297.15,-0.0009856577429677008
2023-10-15 23:54:05,294.46179696431545,294.15,297.15,-0.0009856577429677008
2023-10-15 23:54:35,294.46137667614306,294.15,297.15,-0.0009856577429677008
2023-10-15 23:55:05,294.4610575746776,294.15,297.15,-0.0009856577429677008
2023-10-15 23:55:35,294.4608400824633,294.15,297.15,-0.0009856577429677008
2023-10-15 23:56:05,294.46072445606666,294.15,297.15,-0.0009856577429677008
2023-10-15 23:56:35,294.46071080424235,294.15,297.15,-0.0009856577429677008
2023-10-15 23:57:05,294.4607991037152,294.15,297.15,-0.0009856577429677008
2023-10-15 23:57:35,294.4609892134987,294.15,297.15,-0.0009856577429677008
2023-10-15 23:58:05,294.4612808880613,294.15,297.15,-0.0009856577429677008
2023-10-15 23:58:35,294.4616737894205,294.15,297.15,-0.0009856577429677008
2023-10-15 23:59:05,294.4621674981986,294.15,297.15,-0.0009856577429677008
2023-10-15 23:59:35,294.46276152367716,294.15,297.15,-0.0009856577429677008
2023-10-16 00:00:05,294.46345668492654,294.15,297.15,-0.0009856577429677008
2023-10-16 00:00:35,294.4642497234379,294.15,297.15,-0.0011710311007527485
2023-10-16 00:01:05,294.46514240841486,294.15,297.15,-0.0011710311007527485
2023-10-16 00:01:35,294.4661366075477,294.15,297.15,-0.0011710311007527485
2023-10-16 00:02:05,294.46723419082707,294.15,297.15,-0.0011710311007527485
2023-10-16 00:02:35,294.4684365961891,294.15,297.15,-0.0011710311007527485
2023-10-16 00:03:05,294.4697447530203,294.15,297.15,-0.0011710311007527485
2023-10-16 00:03:35,294.47115914579535,294.15,297.15,-0.0011710311007527485
2023-10-16 00:04:05,294.47267988040414,294.15,297.15,-0.0011710311007527485
2023-10-16 00:04:35,294.4743068151241,294.15,297.15,-0.0011710311007527485
2023-10-16 00:05:05,294.4760395975783,294.15,297.15,-0.0011710311007527485
2023-10-16 00:05:35,294.4778776966276,294.15,297.15,-0.0011710311007527485
2023-10-16 00:06:05,294.4798204833643,294.15,297.15,-0.0011710311007527485
2023-10-16 00:06:35,294.48186721840017,294.15,297.15,-0.0011710311007527485
2023-10-16 00:07:05,294.48401710265625,294.15,297.15,-0.0011710311007527485
2023-10-16 00:07:35,294.4862692684259,294.15,297.15,-0.0011710311007527485
2023-10-16 00:08:05,294.4886228100858,294.15,297.15,-0.0011710311007527485
2023-10-16 00:08:35,294.491076786607,294.15,297.15,-0.0011710311007527485
2023-10-16 00:09:05,294.4936302390911,294.15,297.15,-0.0011710311007527485
2023-10-16 00:09:35,294.4962821994575,294.15,297.15,-0.0011710311007527485
